Part,Value,Device,Package,Description,COLOR,MF,MPN,OC,SITE
C1,1u,C-EUC0402,C0402,"CAPACITOR, European symbol",,Murata,GRM155R61E105KA12D,846-7287,RS Components
C2,1u,C-EUC0402,C0402,"CAPACITOR, European symbol",,Murata,GRM155R61E105KA12D,846-7287,RS Components
C3,1u,C-EUC0402,C0402,"CAPACITOR, European symbol",,Murata,GRM155R61E105KA12D,846-7287,RS Components
C4,1u,C-EUC0402,C0402,"CAPACITOR, European symbol",,Murata,GRM155R61E105KA12D,846-7287,RS Components
C5,1u,C-EUC0402,C0402,"CAPACITOR, European symbol",,Murata,GRM155R61E105KA12D,846-7287,RS Components
C6,1u,C-EUC0402,C0402,"CAPACITOR, European symbol",,Murata,GRM155R61E105KA12D,846-7287,RS Components
IC1,LPC1114FDH28,LPC1114FDH28,SOT361-1,LPC1114 50 MHz 32-bit ARM Cortex-M0 based microcontroller,,NXP Semiconductors,LPC1114FDH28/102,I-10224,Akizukidenshi
IC2,MPU-9250,MPU-9250,DIP10S,,,InverSense,MPU-9250,12250,StrawberryLinux
IC3,RN-42,"BLUETOOTH-RN41""",RN41,Bluetooth SMD module,,Microchip,RN-42-I/RM,M-07612,Akizukidenshi
IC4,MAX1555,MAX1555,SOT23-5L,Dual-Input USB/AC Adapter 1-Cell Li+ Battery Chargers,,MAXIM,MAX1555EZK+T,,
IC5,NJM2866F33,NJM2866F33,SOT23-5L,,,NewJRC,NJM2866F33,I-05448,Akizukidenshi
J1,ZX62R-B-5P,ZX62R-B-5P,ZX62R-B-5P,,,Hirose,ZX62R-B-5P,C-05254,Akizukidenshi
J2,53261-02,53261-02,53261-02,CONNECTOR,,,,,
LED1,Status LED,LEDCHIP-LED0603,CHIP-LED0603,LED,Green,,,,
LED2,Activity LED,LEDCHIP-LED0603,CHIP-LED0603,LED,Blue,,,,
LED3,Status LED,LEDCHIP-LED0603,CHIP-LED0603,LED,Red,,,,
R1,10k,R-US_R0402,R0402,"RESISTOR, American symbol",,,,,
R2,1k,R-US_R0402,R0402,"RESISTOR, American symbol",,,,,
R3,1k,R-US_R0402,R0402,"RESISTOR, American symbol",,,,,
R4,1k,R-US_R0402,R0402,"RESISTOR, American symbol",,,,,
SW1,SK-12D01-VG4,SK-12D01-VG4,SK-12D01-VG4,,,Zhejiang Jianfu,SK-12D01-VG4,P-08789,Akizukidenshi
TP1,3V3,"PTR1B1,27","B1,27",TEST PIN,,,,,
TP2,SWDIO,"PTR1B1,27","B1,27",TEST PIN,,,,,
TP3,SWCLK,"PTR1B1,27","B1,27",TEST PIN,,,,,
TP4,RESET,"PTR1B1,27","B1,27",TEST PIN,,,,,
TP5,GND,"PTR1B1,27","B1,27",TEST PIN,,,,,
